ID,Vendor,Country,Shipment Mode,Weight (Kilograms),Freight Cost (USD),Line Item Value,Line Item Quantity,Unit Price,Scheduled Delivery Date,Delivered to Client Date,delay_days,is_delayed,delay_probability,risk_category
13926,CIPLA LIMITED,South Africa,Air,1378.0,3646.1,156337.44,19992,0.26,2010-10-13 00:00:00,2011-01-25 00:00:00,104,1,0.024,LOW
13959,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Zambia,Air,849.0,4316.34,19900.0,10000,0.03,2014-12-01 00:00:00,2014-12-01 00:00:00,0,0,0.005,LOW
13968,"Trinity Biotech, Plc",South Sudan,Air,176.0,4124.74,1120.0,35,1.6,2013-10-18 00:00:00,2013-10-18 00:00:00,0,0,0.001,LOW
13978,HETERO LABS LIMITED,Vietnam,Air,1736.0,8163.83,62300.75,9095,0.11,2013-07-01 00:00:00,2013-07-01 00:00:00,0,0,0.005,LOW
13988,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",Haiti,Air,182.0,2581.83,7350.0,300,24.5,2013-07-09 00:00:00,2013-07-09 00:00:00,0,0,0.006,LOW
14016,MICRO LABS LIMITED,Vietnam,Air,1292.0,2800.95,15808.0,7600,0.03,2014-11-07 00:00:00,2014-11-07 00:00:00,0,0,0.007,LOW
14018,HETERO LABS LIMITED,Haiti,Air,4669.0,34778.32,334095.84,50544,0.11,2015-02-12 00:00:00,2015-02-12 00:00:00,0,0,0.019,LOW
14023,S. BUYS WHOLESALER,South Africa,Truck,1047.0,,3297.8,100,0.37,2009-10-19 00:00:00,2009-10-19 00:00:00,0,0,0.001,LOW
14043,Aurobindo Pharma Limited,Vietnam,Air,395.0,3538.57,27342.0,3528,0.26,2010-03-30 00:00:00,2010-03-30 00:00:00,0,0,0.025,LOW
14079,"Standard Diagnostics, Inc.",Tanzania,Air,1208.0,20583.37,0.0,2915,0.0,2013-09-17 00:00:00,2013-09-17 00:00:00,0,0,0.055,LOW
14097,"Orgenics, Ltd",Burundi,Air,1415.0,33228.68,278720.0,3484,0.8,2014-10-06 00:00:00,2014-10-06 00:00:00,0,0,0.061,LOW
14178,"Standard Diagnostics, Inc.",Tanzania,Air,3334.0,21952.35,200000.0,10000,0.8,2011-09-29 00:00:00,2011-10-29 00:00:00,30,1,0.313,MEDIUM
14180,"Trinity Biotech, Plc",Zambia,Air,2783.0,20621.1,304000.0,9500,1.6,2014-07-28 00:00:00,2014-07-28 00:00:00,0,0,0.026,LOW
14195,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Benin,Air,175.0,5864.56,17540.4,1244,0.47,2011-07-12 00:00:00,2011-07-12 00:00:00,0,0,0.007,LOW
14200,S. BUYS WHOLESALER,South Africa,Truck,1047.0,,1653.14,59,0.47,2014-01-13 00:00:00,2014-01-13 00:00:00,0,0,0.002,LOW
14210,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Côte d'Ivoire,Air,655.0,5300.24,112000.0,4000,0.47,2011-12-01 00:00:00,2011-12-01 00:00:00,0,0,0.004,LOW
14230,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Rwanda,Air,454.0,7152.99,12328.0,400,0.1,2013-05-17 00:00:00,2013-05-17 00:00:00,0,0,0.01,LOW
14240,"Orgenics, Ltd",South Sudan,Air,1047.0,,6230.0,70,0.89,2015-06-03 00:00:00,2015-06-03 00:00:00,0,0,0.192,LOW
14241,Aurobindo Pharma Limited,Mozambique,Air,77.0,979.14,6064.0,800,0.25,2014-04-09 00:00:00,2014-04-09 00:00:00,0,0,0.008,LOW
14252,CIPLA LIMITED,Uganda,Air,574.0,3868.24,16676.8,7445,0.04,2014-03-21 00:00:00,2014-03-21 00:00:00,0,0,0.014,LOW
14265,Aurobindo Pharma Limited,Vietnam,Air,182.0,5970.85,486.55,263,0.01,2013-05-24 00:00:00,2013-05-24 00:00:00,0,0,0.007,LOW
14278,Aurobindo Pharma Limited,Ethiopia,Air,2996.0,10612.93,133280.0,56000,0.04,2010-03-04 00:00:00,2010-03-04 00:00:00,0,0,0.165,LOW
